BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
107,Austria,1990,F,25,999,0.15,50.76,35.59,44.31,30.78,4.78,2.93,7.23,3.69,3.39,0.15,2790,AUT,Advanced Economies
107,Austria,1995,F,25,999,0.39,45.79,33.02,47.51,32.56,6.31,3.99,7.64,3.73,3.71,0.21,2956,AUT,Advanced Economies
107,Austria,2000,F,25,999,0.59,41.11,29.96,49.14,32.90,9.16,5.89,8.07,3.75,4.01,0.30,3035,AUT,Advanced Economies
107,Austria,2005,F,25,999,0.90,35.78,26.21,50.79,31.58,12.53,8.11,8.48,3.77,4.30,0.41,3091,AUT,Advanced Economies
107,Austria,2010,F,25,999,0.89,31.90,23.59,55.06,37.57,12.15,7.88,8.88,3.80,4.68,0.40,3151,AUT,Advanced Economies
108,Belgium,1950,F,25,999,2.78,75.89,49.31,19.66,5.44,1.61,0.91,5.93,5.03,0.85,0.05,2862,BEL,Advanced Economies
108,Belgium,1955,F,25,999,2.46,73.00,47.92,22.45,6.12,2.03,1.18,6.14,5.10,0.98,0.06,2967,BEL,Advanced Economies
108,Belgium,1960,F,25,999,2.14,69.16,45.86,26.10,7.04,2.60,1.59,6.41,5.17,1.15,0.08,3056,BEL,Advanced Economies
108,Belgium,1965,F,25,999,1.36,70.41,47.11,25.55,6.99,2.65,1.69,6.44,5.22,1.14,0.09,3094,BEL,Advanced Economies
108,Belgium,1970,F,25,999,0.79,68.91,46.64,27.10,7.70,3.20,2.13,6.63,5.28,1.24,0.11,3110,BEL,Advanced Economies
108,Belgium,1975,F,25,999,1.07,62.49,44.34,31.27,14.57,5.15,3.57,7.25,5.39,1.68,0.17,3193,BEL,Advanced Economies
108,Belgium,1980,F,25,999,1.27,56.00,40.82,35.06,18.39,7.64,5.46,7.79,5.47,2.06,0.26,3302,BEL,Advanced Economies
108,Belgium,1985,F,25,999,1.54,49.54,36.50,38.52,20.89,10.40,7.61,8.28,5.52,2.41,0.36,3399,BEL,Advanced Economies
108,Belgium,1990,F,25,999,1.93,39.60,28.84,43.59,24.48,14.88,11.09,9.02,5.56,2.93,0.52,3532,BEL,Advanced Economies
108,Belgium,1995,F,25,999,2.35,33.90,24.05,45.52,26.25,18.22,13.75,9.45,5.56,3.25,0.64,3658,BEL,Advanced Economies
108,Belgium,2000,F,25,999,2.78,28.80,19.47,46.49,27.69,21.92,16.66,9.87,5.55,3.54,0.77,3767,BEL,Advanced Economies
108,Belgium,2005,F,25,999,3.00,23.00,15.39,47.61,29.08,26.38,20.15,10.41,5.59,3.88,0.93,3844,BEL,Advanced Economies
108,Belgium,2010,F,25,999,3.90,20.31,12.53,49.53,31.77,26.25,20.11,10.47,5.53,4.01,0.93,3907,BEL,Advanced Economies
50,Canada,1950,F,25,999,2.20,49.00,24.19,40.30,18.67,8.50,4.02,7.65,5.12,2.28,0.25,3676,CAN,Advanced Economies
50,Canada,1955,F,25,999,1.88,46.88,23.81,40.78,19.31,10.44,4.95,7.93,5.19,2.43,0.31,4161,CAN,Advanced Economies
50,Canada,1960,F,25,999,1.70,44.60,23.18,41.50,20.20,12.30,5.88,8.21,5.26,2.59,0.36,4611,CAN,Advanced Economies
50,Canada,1965,F,25,999,1.53,41.19,21.86,44.47,17.61,12.81,6.17,8.34,5.33,2.63,0.38,5005,CAN,Advanced Economies
50,Canada,1970,F,25,999,1.40,37.00,19.50,47.16,17.30,14.44,7.15,8.62,5.39,2.80,0.43,5603,CAN,Advanced Economies
50,Canada,1975,F,25,999,1.90,30.20,12.00,49.69,17.71,18.21,9.61,9.01,5.34,3.11,0.56,6367,CAN,Advanced Economies
50,Canada,1980,F,25,999,2.20,23.60,9.40,51.55,18.89,22.65,9.50,9.56,5.44,3.47,0.64,7209,CAN,Advanced Economies
50,Canada,1985,F,25,999,1.36,19.93,7.79,61.86,23.55,16.84,10.13,9.67,5.55,3.57,0.54,8126,CAN,Advanced Economies
50,Canada,1990,F,25,999,1.11,15.56,5.91,63.70,28.03,19.63,12.48,10.22,5.64,3.93,0.64,9187,CAN,Advanced Economies
50,Canada,1995,F,25,999,1.19,13.11,5.28,63.06,29.82,22.64,14.68,10.58,5.69,4.14,0.75,9938,CAN,Advanced Economies
50,Canada,2000,F,25,999,1.16,10.66,3.90,62.08,31.32,26.10,18.46,10.99,5.73,4.37,0.89,10630,CAN,Advanced Economies
50,Canada,2005,F,25,999,0.79,7.22,2.94,46.19,28.38,45.80,32.11,12.37,5.82,4.99,1.56,11390,CAN,Advanced Economies
50,Canada,2010,F,25,999,0.73,5.97,2.55,53.84,36.17,39.45,28.08,12.27,5.85,5.07,1.35,12157,CAN,Advanced Economies
110,Denmark,1950,F,25,999,8.28,71.32,42.96,15.33,7.52,5.07,1.36,6.55,5.43,0.99,0.13,1312,DNK,Advanced Economies
110,Denmark,1955,F,25,999,7.32,71.12,43.07,16.09,7.71,5.46,1.46,6.69,5.51,1.04,0.14,1365,DNK,Advanced Economies
110,Denmark,1960,F,25,999,6.41,70.45,43.31,17.15,8.16,5.97,1.56,6.87,5.60,1.12,0.15,1408,DNK,Advanced Economies
110,Denmark,1965,F,25,999,5.51,69.16,44.30,18.57,8.80,6.76,1.70,7.14,5.74,1.23,0.17,1459,DNK,Advanced Economies
110,Denmark,1970,F,25,999,3.62,66.37,43.68,21.65,10.11,8.36,2.11,7.62,5.95,1.45,0.21,1538,DNK,Advanced Economies
110,Denmark,1975,F,25,999,3.22,62.53,41.88,24.21,12.22,10.04,2.48,8.00,6.05,1.70,0.25,1635,DNK,Advanced Economies
110,Denmark,1980,F,25,999,2.86,59.30,40.76,25.71,13.51,12.14,2.92,8.36,6.15,1.91,0.30,1698,DNK,Advanced Economies
110,Denmark,1985,F,25,999,2.25,49.85,34.63,30.50,16.56,17.40,3.38,9.18,6.31,2.46,0.42,1750,DNK,Advanced Economies
110,Denmark,1990,F,25,999,0.10,55.50,38.94,30.21,16.97,14.19,8.72,9.14,6.41,2.27,0.46,1808,DNK,Advanced Economies
110,Denmark,1995,F,25,999,0.10,51.17,36.90,31.80,18.14,16.93,10.72,9.56,6.49,2.51,0.55,1862,DNK,Advanced Economies
110,Denmark,2000,F,25,999,0.10,47.73,34.82,35.78,21.01,16.40,10.55,9.68,6.45,2.69,0.54,1917,DNK,Advanced Economies
110,Denmark,2005,F,25,999,0.10,44.24,32.49,39.15,23.50,16.55,10.74,9.83,6.41,2.87,0.55,1953,DNK,Advanced Economies
110,Denmark,2010,F,25,999,0.10,40.94,30.33,40.17,24.85,18.84,12.24,10.08,6.38,3.08,0.62,1970,DNK,Advanced Economies
111,Finland,1950,F,25,999,0.10,91.50,55.41,5.90,1.25,2.50,0.96,5.34,4.91,0.36,0.07,1190,FIN,Advanced Economies
111,Finland,1955,F,25,999,0.10,91.03,55.47,6.68,1.30,2.20,0.84,5.36,4.93,0.37,0.06,1257,FIN,Advanced Economies
111,Finland,1960,F,25,999,0.10,88.80,55.03,7.30,1.34,3.80,1.48,5.57,4.98,0.49,0.11,1304,FIN,Advanced Economies
111,Finland,1965,F,25,999,0.40,79.66,51.49,16.01,3.01,3.90,1.59,6.04,5.13,0.80,0.11,1346,FIN,Advanced Economies
111,Finland,1970,F,25,999,0.59,68.61,45.31,25.50,5.30,5.30,2.26,6.66,5.27,1.24,0.15,1400,FIN,Advanced Economies
111,Finland,1975,F,25,999,0.97,63.27,42.54,27.81,15.92,7.92,3.57,7.33,5.32,1.79,0.23,1525,FIN,Advanced Economies
111,Finland,1980,F,25,999,1.20,54.87,37.88,34.08,24.02,9.85,4.96,8.05,5.42,2.33,0.30,1618,FIN,Advanced Economies
111,Finland,1985,F,25,999,1.22,56.74,39.56,30.30,18.38,11.72,5.43,7.92,5.41,2.16,0.34,1706,FIN,Advanced Economies
111,Finland,1990,F,25,999,0.11,57.88,40.72,30.28,17.23,11.72,5.38,7.95,5.48,2.13,0.34,1777,FIN,Advanced Economies
111,Finland,1995,F,25,999,0.50,44.60,32.13,35.20,19.80,19.70,8.88,9.00,5.60,2.83,0.57,1836,FIN,Advanced Economies
111,Finland,2000,F,25,999,0.77,38.92,28.29,32.27,18.38,28.04,12.33,9.64,5.64,3.20,0.81,1868,FIN,Advanced Economies
111,Finland,2005,F,25,999,0.66,33.34,24.38,33.76,17.23,32.24,13.70,10.07,5.69,3.46,0.92,1913,FIN,Advanced Economies
111,Finland,2010,F,25,999,0.59,29.36,21.69,40.05,25.00,29.99,12.19,10.33,5.73,3.75,0.84,1961,FIN,Advanced Economies
112,France,1950,F,25,999,0.13,89.39,25.54,9.81,2.26,0.58,0.28,3.91,3.39,0.50,0.02,13919,FRA,Advanced Economies
112,France,1955,F,25,999,0.12,88.88,27.30,10.30,2.40,0.70,0.33,4.01,3.45,0.53,0.02,14303,FRA,Advanced Economies
112,France,1960,F,25,999,0.12,90.88,29.29,8.00,2.60,1.00,0.53,3.95,3.45,0.47,0.03,14844,FRA,Advanced Economies
112,France,1965,F,25,999,0.47,88.36,32.26,9.13,4.11,2.04,0.99,4.26,3.57,0.63,0.06,15457,FRA,Advanced Economies
112,France,1970,F,25,999,0.76,85.05,33.64,10.87,5.23,3.35,1.61,4.60,3.68,0.83,0.10,15735,FRA,Advanced Economies
112,France,1975,F,25,999,1.07,79.31,33.68,14.16,6.80,5.46,2.57,5.12,3.81,1.15,0.16,16566,FRA,Advanced Economies
112,France,1980,F,25,999,1.13,73.47,32.11,17.80,7.40,7.60,3.34,5.59,3.91,1.47,0.22,17488,FRA,Advanced Economies
112,France,1985,F,25,999,6.29,59.65,26.99,25.80,12.65,8.25,3.70,6.10,3.87,1.99,0.24,18385,FRA,Advanced Economies
112,France,1990,F,25,999,9.81,45.51,20.57,34.19,18.03,10.25,4.51,6.80,3.87,2.63,0.30,19314,FRA,Advanced Economies
112,France,1995,F,25,999,5.99,36.88,16.53,44.08,24.56,13.05,5.66,7.98,4.19,3.41,0.37,20500,FRA,Advanced Economies
112,France,2000,F,25,999,3.25,29.08,12.86,50.88,29.95,16.81,7.22,9.02,4.43,4.11,0.48,21281,FRA,Advanced Economies
112,France,2005,F,25,999,1.72,27.57,12.01,51.07,32.35,19.64,8.31,9.47,4.52,4.39,0.56,21899,FRA,Advanced Economies
112,France,2010,F,25,999,1.43,18.98,8.12,57.90,36.78,21.69,9.02,10.21,4.66,4.94,0.61,22505,FRA,Advanced Economies
190,Germany,1950,F,25,999,0.28,81.99,49.25,15.98,3.73,1.75,0.92,4.61,3.33,1.23,0.05,24165,DEU,Advanced Economies
190,Germany,1955,F,25,999,0.20,81.22,49.11,16.69,4.21,1.89,0.96,4.70,3.35,1.30,0.06,25006,DEU,Advanced Economies
190,Germany,1960,F,25,999,0.20,80.80,49.61,17.07,4.88,1.93,0.99,4.77,3.37,1.34,0.06,25762,DEU,Advanced Economies
190,Germany,1965,F,25,999,0.29,79.54,51.02,18.07,5.84,2.10,1.08,4.93,3.42,1.45,0.06,26890,DEU,Advanced Economies
190,Germany,1970,F,25,999,0.30,81.00,53.12,16.90,6.31,1.90,1.00,4.87,3.43,1.37,0.06,27498,DEU,Advanced Economies
190,Germany,1975,F,25,999,0.70,80.30,53.45,16.00,6.69,3.00,1.59,4.96,3.44,1.43,0.09,27517,DEU,Advanced Economies
190,Germany,1980,F,25,999,0.20,77.60,53.01,18.10,8.52,4.10,2.19,5.34,3.50,1.71,0.13,27853,DEU,Advanced Economies
190,Germany,1985,F,25,999,1.50,73.60,50.98,20.40,10.66,4.50,2.60,5.58,3.49,1.95,0.14,28305,DEU,Advanced Economies
190,Germany,1990,F,25,999,3.57,51.64,36.19,36.27,21.00,8.49,5.21,7.39,3.55,3.57,0.27,29611,DEU,Advanced Economies
190,Germany,1995,F,25,999,4.93,38.68,27.84,45.16,28.41,11.22,7.08,8.52,3.59,4.57,0.37,30985,DEU,Advanced Economies
190,Germany,2000,F,25,999,5.85,28.21,20.49,51.85,34.51,14.09,9.04,9.49,3.61,5.41,0.46,31455,DEU,Advanced Economies
190,Germany,2005,F,25,999,5.19,3.22,2.35,76.07,51.72,15.53,10.01,11.80,3.78,7.51,0.51,31763,DEU,Advanced Economies
190,Germany,2010,F,25,999,4.65,4.02,2.96,76.00,54.37,15.32,9.89,11.87,3.79,7.57,0.50,32232,DEU,Advanced Economies
114,Greece,1950,F,25,999,47.90,43.30,12.30,8.10,5.21,0.70,0.43,2.66,2.20,0.44,0.02,2057,GRC,Advanced Economies
114,Greece,1955,F,25,999,37.07,44.20,16.45,18.02,12.01,0.71,0.44,3.91,2.94,0.94,0.02,2285,GRC,Advanced Economies
114,Greece,1960,F,25,999,27.88,35.92,15.51,35.10,24.03,1.10,0.81,5.59,3.71,1.84,0.04,2504,GRC,Advanced Economies
114,Greece,1965,F,25,999,25.06,48.63,24.23,25.06,17.61,1.25,0.97,5.16,3.76,1.35,0.04,2684,GRC,Advanced Economies
114,Greece,1970,F,25,999,23.87,52.57,28.80,21.68,15.43,1.88,1.59,5.15,3.85,1.23,0.07,2804,GRC,Advanced Economies
114,Greece,1975,F,25,999,20.90,56.66,32.24,19.27,13.99,3.17,3.12,5.33,4.01,1.19,0.13,2918,GRC,Advanced Economies
114,Greece,1980,F,25,999,17.70,60.10,41.70,17.30,13.10,4.90,4.63,5.78,4.39,1.21,0.19,3151,GRC,Advanced Economies
114,Greece,1985,F,25,999,14.77,57.37,39.97,21.55,18.43,6.31,5.89,6.41,4.59,1.58,0.24,3303,GRC,Advanced Economies
114,Greece,1990,F,25,999,12.73,52.07,40.09,26.73,24.33,8.19,7.68,7.20,4.86,2.02,0.32,3447,GRC,Advanced Economies
114,Greece,1995,F,25,999,15.90,42.25,35.62,30.69,23.53,11.17,10.24,7.57,4.85,2.30,0.43,3747,GRC,Advanced Economies
114,Greece,2000,F,25,999,16.56,34.96,30.88,34.99,25.71,13.49,12.47,8.03,4.88,2.63,0.52,3989,GRC,Advanced Economies
114,Greece,2005,F,25,999,4.76,41.39,35.58,31.99,24.24,21.86,20.36,9.38,5.54,3.00,0.84,4194,GRC,Advanced Economies
114,Greece,2010,F,25,999,2.74,32.80,30.39,40.82,30.90,23.64,22.15,10.25,5.76,3.57,0.92,4335,GRC,Advanced Economies
116,Iceland,1950,F,25,999,1.40,90.41,54.73,7.42,3.58,0.80,0.42,5.29,4.85,0.42,0.02,38,ISL,Advanced Economies
116,Iceland,1955,F,25,999,1.23,87.61,53.44,9.93,4.70,1.26,0.64,5.51,4.90,0.57,0.04,40,ISL,Advanced Economies
116,Iceland,1960,F,25,999,1.09,85.61,53.18,11.70,5.52,1.60,0.83,5.69,4.96,0.68,0.05,44,ISL,Advanced Economies
116,Iceland,1965,F,25,999,0.98,82.23,53.15,14.72,6.87,2.07,1.08,5.99,5.07,0.86,0.06,47,ISL,Advanced Economies
116,Iceland,1970,F,25,999,0.83,77.44,51.38,18.94,8.96,2.78,1.48,6.37,5.17,1.12,0.09,51,ISL,Advanced Economies
116,Iceland,1975,F,25,999,0.76,71.83,48.50,23.90,12.22,3.49,1.88,6.81,5.25,1.45,0.11,55,ISL,Advanced Economies
116,Iceland,1980,F,25,999,0.67,65.01,45.11,29.21,15.58,5.07,2.74,7.37,5.36,1.85,0.16,60,ISL,Advanced Economies
116,Iceland,1985,F,25,999,0.56,58.94,41.46,32.70,18.07,7.75,4.54,7.93,5.44,2.25,0.25,67,ISL,Advanced Economies
116,Iceland,1990,F,25,999,0.68,52.70,37.43,35.81,20.47,10.74,6.68,8.49,5.50,2.65,0.35,74,ISL,Advanced Economies
116,Iceland,1995,F,25,999,0.83,46.86,34.15,38.53,22.33,13.72,8.78,9.02,5.56,3.01,0.45,80,ISL,Advanced Economies
116,Iceland,2000,F,25,999,0.94,42.12,30.95,39.22,23.30,17.64,11.45,9.53,5.60,3.34,0.58,87,ISL,Advanced Economies
116,Iceland,2005,F,25,999,0.84,37.19,27.50,40.57,24.64,21.33,13.94,10.06,5.66,3.70,0.71,95,ISL,Advanced Economies
116,Iceland,2010,F,25,999,0.85,32.83,24.60,36.94,23.24,29.33,19.26,10.76,5.70,4.09,0.97,99,ISL,Advanced Economies
117,Ireland,1950,F,25,999,6.94,67.65,40.63,22.68,10.81,2.73,1.42,7.48,6.36,1.03,0.08,825,IRL,Advanced Economies
117,Ireland,1955,F,25,999,6.09,66.03,39.89,24.97,11.66,2.92,1.48,7.68,6.47,1.13,0.09,816,IRL,Advanced Economies
117,Ireland,1960,F,25,999,5.40,63.52,39.00,27.85,12.91,3.23,1.66,7.94,6.59,1.26,0.10,788,IRL,Advanced Economies
117,Ireland,1965,F,25,999,4.63,60.87,39.04,31.00,14.29,3.50,1.81,8.25,6.76,1.39,0.11,774,IRL,Advanced Economies
117,Ireland,1970,F,25,999,4.22,61.58,40.46,30.60,14.26,3.60,1.89,8.31,6.82,1.38,0.11,791,IRL,Advanced Economies
117,Ireland,1975,F,25,999,3.64,54.25,36.32,37.14,18.74,4.93,2.63,8.88,6.99,1.74,0.15,841,IRL,Advanced Economies
117,Ireland,1980,F,25,999,3.09,47.21,32.59,43.20,22.84,6.50,3.50,9.45,7.17,2.08,0.20,893,IRL,Advanced Economies
117,Ireland,1985,F,25,999,2.73,40.77,28.54,45.57,25.01,10.90,6.37,10.05,7.29,2.41,0.35,949,IRL,Advanced Economies
117,Ireland,1990,F,25,999,2.48,37.92,26.78,45.40,25.73,14.20,8.79,10.40,7.36,2.59,0.46,999,IRL,Advanced Economies
117,Ireland,1995,F,25,999,4.59,28.50,20.68,48.04,27.67,18.83,12.01,10.87,7.32,2.94,0.62,1083,IRL,Advanced Economies
117,Ireland,2000,F,25,999,5.45,21.65,15.91,47.35,28.14,25.55,16.58,11.21,7.10,3.26,0.84,1188,IRL,Advanced Economies
117,Ireland,2005,F,25,999,4.78,17.11,12.72,49.04,30.01,28.95,19.03,11.45,6.97,3.52,0.96,1373,IRL,Advanced Economies
117,Ireland,2010,F,25,999,4.01,13.51,10.16,49.95,31.60,32.42,21.40,11.70,6.87,3.75,1.08,1511,IRL,Advanced Economies
118,Italy,1950,F,25,999,19.30,72.60,39.71,7.60,3.20,0.50,0.26,3.66,3.21,0.43,0.02,14093,ITA,Advanced Economies
118,Italy,1955,F,25,999,17.17,72.29,41.03,9.84,3.87,0.70,0.36,3.93,3.36,0.54,0.02,14830,ITA,Advanced Economies
118,Italy,1960,F,25,999,15.20,72.00,42.12,11.90,4.50,1.00,0.52,4.19,3.50,0.66,0.03,15674,ITA,Advanced Economies
118,Italy,1965,F,25,999,11.44,74.14,45.52,13.32,4.79,1.11,0.58,4.47,3.71,0.73,0.03,16532,ITA,Advanced Economies
118,Italy,1970,F,25,999,8.80,74.80,47.50,14.90,5.36,1.50,0.79,4.76,3.88,0.83,0.05,17132,ITA,Advanced Economies
118,Italy,1975,F,25,999,9.17,68.49,49.06,20.45,7.47,2.01,1.07,5.27,4.06,1.15,0.06,17936,ITA,Advanced Economies
118,Italy,1980,F,25,999,9.44,62.56,48.80,25.10,9.80,2.90,1.56,5.75,4.18,1.48,0.09,18590,ITA,Advanced Economies
118,Italy,1985,F,25,999,12.48,51.40,42.83,32.25,13.30,3.86,2.24,6.22,4.16,1.94,0.12,19137,ITA,Advanced Economies
118,Italy,1990,F,25,999,12.17,43.65,38.14,39.00,16.72,5.21,3.20,6.85,4.26,2.42,0.17,20473,ITA,Advanced Economies
118,Italy,1995,F,25,999,11.23,36.59,32.97,44.98,19.86,7.23,4.56,7.51,4.35,2.92,0.24,21386,ITA,Advanced Economies
118,Italy,2000,F,25,999,10.10,30.60,28.14,50.20,24.70,9.10,5.83,8.20,4.43,3.47,0.30,22422,ITA,Advanced Economies
118,Italy,2005,F,25,999,10.32,26.21,24.42,53.58,28.80,9.88,6.37,8.60,4.44,3.84,0.32,23048,ITA,Advanced Economies
118,Italy,2010,F,25,999,8.53,23.62,21.17,57.93,30.49,9.93,6.41,8.90,4.51,4.06,0.33,23287,ITA,Advanced Economies
90,Japan,1950,F,25,999,8.26,72.54,44.21,17.78,8.66,1.41,0.38,5.57,4.65,0.88,0.04,19832,JPN,Advanced Economies
90,Japan,1955,F,25,999,6.12,66.74,41.01,25.23,12.09,1.90,0.46,6.14,4.86,1.23,0.05,22354,JPN,Advanced Economies
90,Japan,1960,F,25,999,4.40,61.90,38.77,31.40,15.00,2.30,0.38,6.63,5.04,1.53,0.05,25087,JPN,Advanced Economies
90,Japan,1965,F,25,999,2.35,63.19,41.37,32.81,15.60,1.65,0.41,6.80,5.20,1.55,0.04,27799,JPN,Advanced Economies
90,Japan,1970,F,25,999,1.30,62.90,42.11,30.80,14.76,4.80,1.90,7.08,5.29,1.65,0.13,30975,JPN,Advanced Economies
90,Japan,1975,F,25,999,0.78,54.00,36.74,39.02,20.17,6.20,1.53,7.74,5.44,2.15,0.15,34938,JPN,Advanced Economies
90,Japan,1980,F,25,999,0.51,47.57,33.15,42.10,22.54,9.50,2.96,8.28,5.52,2.51,0.25,37978,JPN,Advanced Economies
90,Japan,1985,F,25,999,0.41,41.62,29.16,44.61,24.46,13.31,7.80,8.89,5.60,2.87,0.42,40368,JPN,Advanced Economies
90,Japan,1990,F,25,999,0.34,36.32,25.57,46.70,26.27,16.71,10.32,9.39,5.66,3.19,0.54,42603,JPN,Advanced Economies
90,Japan,1995,F,25,999,0.28,31.77,22.86,47.65,27.04,20.20,12.77,9.82,5.71,3.45,0.66,45155,JPN,Advanced Economies
90,Japan,2000,F,25,999,0.23,27.16,19.71,47.87,27.87,24.65,15.77,10.32,5.76,3.75,0.81,47932,JPN,Advanced Economies
90,Japan,2005,F,25,999,0.19,23.24,16.95,47.36,28.14,29.13,18.73,10.76,5.79,4.01,0.96,49882,JPN,Advanced Economies
90,Japan,2010,F,25,999,0.16,19.74,14.51,46.42,28.44,33.61,21.63,11.20,5.83,4.26,1.10,51070,JPN,Advanced Economies
119,Luxembourg,1950,F,25,999,3.80,76.58,46.17,18.26,8.88,1.41,0.75,5.91,4.86,1.00,0.04,96,LUX,Advanced Economies
119,Luxembourg,1955,F,25,999,1.74,76.80,46.42,19.85,9.47,1.65,0.86,6.13,4.99,1.09,0.05,102,LUX,Advanced Economies
119,Luxembourg,1960,F,25,999,1.58,75.02,46.09,21.55,10.26,1.89,0.99,6.29,5.04,1.19,0.06,106,LUX,Advanced Economies
119,Luxembourg,1965,F,25,999,1.50,71.94,45.98,24.02,11.42,2.56,1.36,6.57,5.13,1.36,0.08,109,LUX,Advanced Economies
119,Luxembourg,1970,F,25,999,1.38,68.99,45.05,26.40,12.72,3.22,1.76,6.82,5.20,1.53,0.10,112,LUX,Advanced Economies
119,Luxembourg,1975,F,25,999,1.18,64.28,43.04,29.94,15.11,4.60,2.46,7.26,5.29,1.82,0.14,117,LUX,Advanced Economies
119,Luxembourg,1980,F,25,999,1.46,59.87,41.16,32.90,17.30,5.78,3.10,7.61,5.35,2.08,0.18,124,LUX,Advanced Economies
119,Luxembourg,1985,F,25,999,1.89,54.80,38.18,36.34,19.78,6.98,4.06,7.98,5.39,2.37,0.22,131,LUX,Advanced Economies
119,Luxembourg,1990,F,25,999,2.73,50.99,36.05,38.17,21.63,8.11,5.02,8.23,5.39,2.58,0.26,134,LUX,Advanced Economies
119,Luxembourg,1995,F,25,999,3.64,43.19,31.24,42.27,24.22,10.90,6.92,8.78,5.42,3.00,0.36,144,LUX,Advanced Economies
119,Luxembourg,2000,F,25,999,4.56,36.74,26.89,44.76,26.44,13.94,9.01,9.27,5.43,3.38,0.46,157,LUX,Advanced Economies
119,Luxembourg,2005,F,25,999,5.45,32.17,23.74,48.03,29.10,14.36,9.37,9.51,5.42,3.61,0.47,170,LUX,Advanced Economies
119,Luxembourg,2010,F,25,999,6.45,27.13,20.25,51.66,32.36,14.77,9.67,9.77,5.41,3.88,0.49,181,LUX,Advanced Economies
121,Netherlands,1950,F,25,999,2.82,89.88,89.88,7.04,1.83,0.31,0.17,6.13,5.83,0.29,0.01,2834,NLD,Advanced Economies
121,Netherlands,1955,F,25,999,2.51,88.78,88.12,8.40,2.09,0.35,0.18,6.18,5.83,0.34,0.01,3039,NLD,Advanced Economies
121,Netherlands,1960,F,25,999,2.24,87.76,85.41,9.60,2.10,0.40,0.21,6.18,5.80,0.38,0.01,3243,NLD,Advanced Economies
121,Netherlands,1965,F,25,999,2.78,70.68,67.53,24.04,5.60,2.51,1.31,6.86,5.74,1.04,0.08,3444,NLD,Advanced Economies
